id,Year,Sample Name,BET(m2 / g),Eg(eV),NO2(%),PT(h),T(℃),PM(g),HR(℃/min),urea,thiourea,dicyandiamide,melamine,Whether doping,Doping content(wt%),Load/g(12cm),Tungsten halogen lamp, LED lamp,Xe lamp,Metal halide lamp,Else,Intensity(W/m2),Flow rate(L/min),Pore volume(cm3/g),NOx(%)
158,2018,CN-C2,118.0,2.65,,2.0,550,10.0,15.0,1,0,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.61,56.77
159,2018,CN-C3,118.0,2.63,,2.0,550,10.0,15.0,1,0,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.65,53.0
160,2016,g-C3N4,,2.7,8.3,4.0,520,,20.0,0,0,0,1,0,0.0,0.1,0,0,1,0,0.0,14.0,1.0,,37.0
163,2017,N-g-C3N4,65.0,2.89,22.3,4.0,550,3.0,10.0,0,0,0,1,0,0.0,0.1,0,0,1,0,0.0,14.0,1.0,,34.94
165,2022,Pd-CN,,2.77,14.83,4.0,520,3.0,10.0,0,0,0,1,1,0.5,0.1,0,0,1,0,0.0,14.0,1.0,,53.0
167,2017,g-C3N4,,2.71,30.5,4.0,550,3.0,,0,0,0,1,0,0.0,0.1,0,0,1,0,0.0,14.0,1.0,,38.0
168,2017,Ns-g-C3N4,,2.8,19.5,4.0,550,3.0,,0,0,0,1,1,,0.1,0,0,1,0,0.0,14.0,1.0,,48.0
170,2020,CN-IL5,27.99,2.79,8.419,4.0,520,4.0,10.0,0,0,0,1,1,5.0,0.1,0,0,1,0,0.0,14.0,1.0,,70.07
172,2019, CNCU1,5.7,2.73,13.33,4.0,520,3.0,20.0,0,0,0,1,1,0.3,0.1,0,0,1,0,0.0,14.0,1.0,,75.0
175,2019, g-C3N4,6.3,2.79,25.83,4.0,520,4.0,10.0,0,0,0,1,0,0.0,0.1,0,0,1,0,0.0,14.0,1.0,,31.0
176,2019,CNSr0.05,7.5,2.77,12.67,4.0,520,4.0,10.0,0,0,0,1,1,0.05,0.1,0,0,1,0,0.0,14.0,1.0,,59.0
177,2020,g-C3N4,,2.79,26.0,4.0,520,4.0,,0,1,0,0,0,0.0,0.1,0,0,1,0,0.0,1600.0,1.0,,35.0
178,2020,MgCN0.2,,2.77,13.33,4.0,520,4.0,,0,1,0,0,1,0.2,0.1,0,0,1,0,0.0,1600.0,1.0,,43.0
179,2020,CaCN0.2,,2.74,19.0,4.0,520,4.0,,0,1,0,0,1,0.2,0.1,0,0,1,0,0.0,1600.0,1.0,,53.0
180,2020,SrCN0.2,,2.77,12.83,4.0,520,4.0,,0,1,0,0,1,0.2,0.1,0,0,1,0,0.0,1600.0,1.0,,55.0
181,2020,BaCN0.2,,2.79,17.33,4.0,520,4.0,,0,1,0,0,1,0.2,0.1,0,0,1,0,0.0,1600.0,1.0,,62.0
183,2022,9-CN,11.11,,10.67,4.0,520,4.0,5.0,0,0,0,1,1,12.0,0.05,0,0,1,0,0.0,1600.0,1.0,,78.37
184,2019,g-C3N4,50.54,2.7,25.17,2.0,550,,10.0,1,0,0,0,0,0.0,0.05,0,1,0,0,0.0,14.0,1.0,,35.6
187,2015, HA0.5-CN,32.0,2.8,13.67,2.0,520,10.0,20.0,0,0,0,1,1,0.5,0.15,0,1,0,0,0.0,14.0,1.0,,54.3
189,2015,HA1.5-CN.,75.0,2.78,21.17,2.0,520,10.0,20.0,0,0,0,1,1,1.5,0.15,0,1,0,0,0.0,14.0,1.0,,60.2
191,2020,CNFe0.05,3.404,2.78,,4.0,520,4.0,5.0,0,0,0,1,1,0.05,0.05,0,0,1,0,0.0,1600.0,1.0,,66.6
192,2020,CNFe0.25,5.4,2.76,,4.0,520,4.0,5.0,0,0,0,1,1,0.25,0.05,0,0,1,0,0.0,1600.0,1.0,,70.0
193,2020,CNFe0.5,4.235,2.66,,4.0,520,4.0,5.0,0,0,0,1,1,0.5,0.05,0,0,1,0,0.0,1600.0,1.0,,75.0
194,2020,CNFe1.0 ,5.131,2.66,,4.0,520,4.0,5.0,0,0,0,1,1,1.0,0.05,0,0,1,0,0.0,1600.0,1.0,,75.33
195,2021,g-C3N4,34.7,2.79,,4.0,520,3.0,,0,0,0,1,0,0.0,0.1,0,0,1,0,0.0,1600.0,1.0,,39.5
197,2020,CN,141.7,2.76,14.0,4.0,550,10.0,5.0,1,0,0,0,0,0.0,0.1,0,0,1,0,0.0,1600.0,1.2,,35.0
198,2020,IBOI / CN,74.3,2.55,2.8,4.0,550,10.0,5.0,1,0,0,0,1,30.0,0.1,0,0,1,0,0.0,1600.0,1.2,,57.0
199,2021, g-C3N4,,2.75,12.75,2.0,550,,2.0,0,0,0,1,0,0.0,0.1,0,0,1,0,0.0,1600.0,1.0,,36.82
201,2017,CN,9.0,2.7,2.0,2.0,550,20.0,10.0,0,0,1,0,0,0.0,0.2,0,1,0,0,0.0,14.0,1.0,0.055,22.2
205,2020, g-C3N4,10.5,3.01,14.5,1.0,550,15.0,52.0,1,0,0,0,0,0.0,0.2,0,1,0,0,0.0,,1.0,,31.0
207,2017,M5,11.56,2.51,,3.0,550,4.0,20.0,0,0,0,1,1,5.0,0.2,0,0,0,0,1.0,10.0,3.0,0.063,22.5
208,2017,M10,10.14,2.44,,3.0,550,4.0,20.0,0,0,0,1,1,10.0,0.2,0,0,0,0,1.0,10.0,3.0,0.07,21.5
210,2017,MTi5,50.16,2.96,,3.0,550,4.0,20.0,0,0,0,1,1,5.0,0.2,0,0,0,0,1.0,10.0,3.0,0.495,22.5
211,2017,MTi10,48.44,2.95,,3.0,550,4.0,20.0,0,0,0,1,1,10.0,0.2,0,0,0,0,1.0,10.0,3.0,0.473,21.5
212,2017,Ti10,51.49,3.06,,3.0,550,4.0,20.0,0,0,0,1,1,10.0,0.2,0,0,0,0,1.0,10.0,3.0,0.526,30.2
213,2019,PCN,,2.7,13.3,2.0,450,5.0,10.0,1,0,0,0,0,0.0,0.15,0,0,1,0,0.0,1600.0,1.2,,36.0
214,2020,CN,105.1,2.71,20.13,4.0,550,20.0,2.5,1,0,0,0,0,0.0,0.1,0,0,1,0,0.0,1600.0,1.2,,34.9
216,2020,CN /Au /ZIS-1,136.43,2.52,6.85,4.0,550,20.0,2.5,1,0,0,0,1,,0.1,0,0,1,0,0.0,1600.0,1.2,,59.7
217,2021,C3N4,9.7,2.69,,4.0,520,20.0,2.0,0,0,1,0,0,0.0,0.3,0,0,1,0,0.0,1600.0,0.027,0.0596,21.0
219,2020, g-C3N4,47.7,2.79,7.9,5.0,550,2.0,10.0,0,0,0,1,0,0.0,0.3,1,0,0,0,0.0,1800.0,3.0,,29.3
223,2018, CN,10.8,2.63,39.5,3.0,550,10.0,5.0,0,0,0,1,0,0.0,0.1,0,0,1,0,0.0,254.6,0.6,,19.3
225,2022,g-C3N4,9.25,3.17,15.8,4.0,550,10.0,10.0,0,0,0,1,0,0.0,0.2,0,0,1,0,0.0,1600.0,1.0,,25.8
227,2019,CN,,2.72,,4.0,550,2.0,2.3,0,0,0,1,0,0.0,0.1,0,0,1,0,0.0,1600.0,2.4,,23.4
229,2018,PICN,119.6,2.49,,4.0,550,2.0,,0,0,1,0,1,,0.08,0,0,1,0,0.0,1600.0,2.0,,46.0
231,2019,g-C3N4,,2.89,6.5,2.0,550,10.0,5.0,0,0,1,0,0,0.0,0.1,0,0,1,0,0.0,1600.0,1.2,,32.0
232,2019,AVO-CN-GA,,2.55,2.83,2.0,550,10.0,5.0,0,0,1,0,1,,0.1,0,0,1,0,0.0,1600.0,1.2,,65.0
233,2019,CN,110.15,2.73,16.17,4.0,550,30.0,2.5,1,0,0,0,0,0.0,0.1,0,0,1,0,0.0,1600.0,1.2,,33.0
234,2019,CN-CO-100,131.99,,6.17,4.0,550,30.0,2.5,1,0,0,0,1,,0.1,0,0,1,0,0.0,1600.0,1.2,,57.0
235,2021,CN,108.29,2.93,13.43,4.0,525,10.0,5.0,1,0,0,0,0,0.0,0.1,0,0,1,0,0.0,1600.0,1.2,,35.6
236,2021,2CN/NU6-rGO-80,384.14,2.84,1.47,4.0,525,10.0,5.0,1,0,0,0,1,20.0,0.1,0,0,1,0,0.0,1600.0,1.2,,65.4
237,2021, g-C3N4,108.27,2.95,,4.0,550,10.0,2.5,1,0,0,0,0,0.0,0.1,0,0,1,0,0.0,1600.0,1.2,,34.2
238,2021, 7% α-Fe2O3/g-C3N4,67.05,2.06,,4.0,550,10.0,2.5,1,0,0,0,1,7.0,0.1,0,0,1,0,0.0,1600.0,1.2,,60.8
239,2016,CN,9.0,2.5,,2.0,550,2.0,5.0,0,0,1,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.071,24.9
240,2016,CN-1,32.0,2.61,,2.0,550,2.0,5.0,0,0,1,0,1,,0.2,1,0,0,0,0.0,1600.0,2.4,0.202,31.9
241,2016,CN-1.5,59.0,2.64,,2.0,550,2.0,5.0,0,0,1,0,1,,0.2,1,0,0,0,0.0,1600.0,2.4,0.377,34.9
242,2016,CN-2,50.0,2.52,,2.0,550,2.0,5.0,0,0,1,0,1,,0.2,1,0,0,0,0.0,1600.0,2.4,0.37,47.1
243,2016,CN-2.5,30.0,2.53,,2.0,550,2.0,5.0,0,0,1,0,1,,0.2,1,0,0,0,0.0,1600.0,2.4,0.184,34.2
246,2018,5-g-C3N4 /GO,,,7.64,1.0,550,15.0,52.0,1,0,0,0,1,5.0,0.4,1,0,0,0,0.0,1600.0,1.0,,34.6
247,2018,7-g-C3N4 /GO,177.0,2.89,10.64,1.0,550,15.0,52.0,1,0,0,0,1,7.0,0.4,1,0,0,0,0.0,1600.0,1.0,,44.1
248,2018,9-g-C3N4 /GO,,,8.14,1.0,550,15.0,52.0,1,0,0,0,1,9.0,0.4,1,0,0,0,0.0,1600.0,1.0,,45.9
251,2019,CN,15.05,2.7,,4.0,550,2.0,2.0,0,0,0,1,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,,30.94
252,2019,OCN,125.96,2.79,,4.0,550,2.0,2.0,0,0,0,1,1,,0.2,1,0,0,0,0.0,1600.0,2.4,,41.44
253,2016,CN,78.3,2.74,37.0,2.0,550,10.0,15.0,0,1,0,0,0,0.0,0.2,0,0,0,0,1.0,468.0,2.5,,34.42
254,2016,90% GOA/CN,385.2,2.58,22.0,2.0,550,10.0,15.0,0,1,0,0,1,90.0,0.2,0,0,0,0,1.0,468.0,2.5,,47.41
255,2018,CN,,2.7,,2.0,550,10.0,15.0,1,0,0,0,0,0.0,0.2,0,0,0,0,1.0,,2.4,,32.6
256,2018,25%-N-TiO2 /g-C3N4,,2.84,,2.0,550,10.0,15.0,1,0,0,0,1,25.0,0.2,0,0,0,0,1.0,,2.4,,46.1
258,2014,MCN,104.0,2.53,,2.0,550,10.0,15.0,0,0,1,0,1,1.0,0.1,1,0,0,0,0.0,1600.0,2.4,,50.3
261,2020,CN,35.0,2.6,10.68,1.0,550,18.0,52.0,1,0,0,0,0,0.0,0.1,0,0,0,1,0.0,358.8,2.0,,38.8
262,2020,CN-Ni-33%,95.0,2.6,0.0,1.0,550,18.0,52.0,1,0,0,0,1,33.0,0.1,0,0,0,1,0.0,358.8,2.0,,51.3
263,2020,CN,34.8,2.6,8.9,4.0,550,10.0,10.0,0,0,0,1,0,0.0,0.2,0,0,0,1,0.0,358.8,2.0,,21.88
264,2020,0.7%Mo-CN,53.5,2.7,10.05,4.0,550,10.0,10.0,0,0,0,1,1,0.7,0.2,0,0,0,1,0.0,358.8,2.0,,35.78
266,2019,CN,19.9,2.71,12.075,3.0,550,1.0,2.5,0,0,0,1,0,0.0,0.1,0,0,0,1,0.0,252.8,2.0,,18.2
267,2019,CNT-8,28.2,2.75,9.832,3.0,550,1.0,2.5,0,0,0,1,0,0.0,0.1,0,0,0,1,0.0,252.8,2.0,,23.7
268,2019,CNT-12,67.5,2.78,8.119,3.0,550,1.0,2.5,0,0,0,1,0,0.0,0.1,0,0,0,1,0.0,252.8,2.0,,32.8
269,2019,CNT-16,69.2,2.77,11.167,3.0,550,1.0,2.5,0,0,0,1,0,0.0,0.1,0,0,0,1,0.0,252.8,2.0,,26.9
274,2015,CN,39.1,2.69,,4.0,550,10.0,5.0,0,0,0,1,0,0.0,0.1,0,1,0,0,0.0,1600.0,1.0,,40.08
275,2015,0.5% TAP-CN,37.5,2.63,,4.0,550,10.0,5.0,0,0,0,1,1,0.5,0.1,0,1,0,0,0.0,1600.0,1.0,,54.43
276,2015,1% TAP-CN,37.2,2.59,,4.0,550,10.0,5.0,0,0,0,1,1,1.0,0.1,0,1,0,0,0.0,1600.0,1.0,,59.43
277,2015,2% TAP-CN,29.4,2.54,,4.0,550,10.0,5.0,0,0,0,1,1,2.0,0.1,0,1,0,0,0.0,1600.0,1.0,,58.73
278,2015,3% TAP-CN,26.5,2.5,,4.0,550,10.0,5.0,0,0,0,1,1,3.0,0.1,0,1,0,0,0.0,1600.0,1.0,,58.41
279,2015,10% TAP-CN,26.8,2.39,,4.0,550,10.0,5.0,0,0,0,1,1,10.0,0.1,0,1,0,0,0.0,1600.0,1.0,,51.74
280,2018,CNQDs,,2.64,6.18,4.0,550,10.0,5.0,0,0,1,0,1,,0.05,0,0,1,0,0.0,1600.0,1.2,,65.0
281,2017,CN,,2.66,13.0,3.0,550,5.0,,0,0,0,1,0,0.0,0.1,0,0,0,0,1.0,10.0,3.0,,21.0
283,2017,M0.5,,2.74,6.0,3.0,550,5.0,,0,0,0,1,1,0.5,0.1,0,0,0,0,1.0,10.0,3.0,,14.0
284,2017,M0.4,,2.88,12.0,3.0,550,5.0,,0,0,0,1,1,1.5,0.1,0,0,0,0,1.0,10.0,3.0,,22.0
285,2017,M0.25,,3.0,12.0,3.0,550,5.0,,0,0,0,1,1,3.0,0.1,0,0,0,0,1.0,10.0,3.0,,32.0
286,2017,M0.2,,3.14,11.0,3.0,550,5.0,,0,0,0,1,1,4.0,0.1,0,0,0,0,1.0,10.0,3.0,,39.0
287,2017,M0.125,,3.14,7.0,3.0,550,5.0,,0,0,0,1,1,7.0,0.1,0,0,0,0,1.0,10.0,3.0,,42.0
288,2020,g-C3N4,38.9,2.78,18.9,1.0,550,15.0,50.0,1,0,0,0,0,0.0,0.1,0,0,0,0,1.0,,0.1,0.0907,37.0
289,2020,TC-CN4,63.4,,8.7,1.0,550,15.0,50.0,1,0,0,0,1,20.0,0.1,0,0,0,0,1.0,,0.1,0.23,57.0
290,2021,CN,,2.7,60.91,2.0,550,10.0,15.0,1,0,0,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,,36.73
291,2021,CN-CCO-3,,,46.11,2.0,550,10.0,15.0,1,0,0,0,1,3.0,0.1,1,0,0,0,0.0,1600.0,2.4,,42.26
292,2021,CN-CCO-6,,,47.83,2.0,550,10.0,15.0,1,0,0,0,1,6.0,0.1,1,0,0,0,0.0,1600.0,2.4,,45.54
293,2012,CN-T,27.1,2.46,14.9,2.0,550,10.0,15.0,0,1,0,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,0.042,34.9
294,2012,CN-D,30.4,2.58,10.5,2.0,550,10.0,15.0,0,0,1,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,0.185,37.5
295,2020,CN,48.14,2.7,9.8,1.0,550,10.0,15.0,1,0,0,0,0,0.0,0.2,0,0,0,1,0.0,410.0,2.0,,19.19
297,2017,CN,13.81,2.7,,2.0,550,12.0,10.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,1.0,0.12,19.5
298,2017,CN-W,32.73,,,2.0,550,12.0,10.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,1.0,0.22,37.2
300,2016,CN,26.5,2.69,,2.0,550,12.0,10.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,,31.22
301,2016,0.5 wt% MoS2-g-C3N4,37.5,2.63,,2.0,550,12.0,10.0,0,1,0,0,1,0.5,0.2,1,0,0,0,0.0,1600.0,2.4,,41.76
302,2016,1 wt% MoS2-g-C3N4,37.2,2.59,,2.0,550,12.0,10.0,0,1,0,0,1,1.0,0.2,1,0,0,0,0.0,1600.0,2.4,,45.43
304,2016,3 wt% MoS2-g-C3N4,39.1,2.5,,2.0,550,12.0,10.0,0,1,0,0,1,3.0,0.2,1,0,0,0,0.0,1600.0,2.4,,35.3
306,2020,CN,19.96,2.44,,4.0,550,10.0,10.0,0,0,0,1,0,0.0,0.1,0,1,0,0,0.0,1600.0,2.4,0.127,28.12
307,2020,7%-Ba-CN,45.73,2.3,,4.0,550,10.0,10.0,0,0,0,1,1,7.0,0.1,0,1,0,0,0.0,1600.0,2.4,0.205,42.17
310,2017,CN-450,31.0,2.76,15.45,0.0,550,10.0,15.0,1,0,0,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.25,0.091,26.0
311,2017,CN-600,35.0,2.5,14.56,0.0,600,10.0,15.0,1,0,0,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.25,0.14,28.5
312,2017,CN0,19.8,2.71,12.1,3.0,550,1.0,2.5,0,0,0,1,0,0.0,0.1,0,0,0,1,0.0,252.8,2.0,,18.2
313,2017,CN1,28.2,2.74,9.8,3.0,550,1.0,2.5,0,0,0,1,0,0.0,0.1,0,0,0,1,0.0,252.8,2.0,,23.7
314,2017,CN2,67.4,2.78,8.2,3.0,550,1.0,2.5,0,0,0,1,0,0.0,0.1,0,0,0,1,0.0,252.8,2.0,,32.8
315,2017,CN3,69.2,2.76,11.2,3.0,550,1.0,2.5,0,0,0,1,0,0.0,0.1,0,0,0,1,0.0,252.8,2.0,,26.9
316,2015,CN,32.7,,28.0,4.0,550,16.0,15.0,0,0,0,0,1,0.0,0.15,1,0,0,0,0.0,1600.0,2.4,0.22,37.2
317,2015,6% CeO2/g-C3N4,37.1,,26.5,4.0,550,16.0,15.0,1,0,0,0,1,6.0,0.15,1,0,0,0,0.0,1600.0,2.4,0.132,45.4
318,2015,8% CeO2/g-C3N4,35.4,,26.5,4.0,550,16.0,15.0,1,0,0,0,1,8.0,0.15,1,0,0,0,0.0,1600.0,2.4,0.118,54.5
319,2015,10% C3N4-Ag-20%,38.4,,24.0,4.0,550,16.0,15.0,1,0,0,0,1,10.0,0.15,1,0,0,0,0.0,1600.0,2.4,0.119,52.4
321,2017,CNMs,24.22,2.71,,4.0,520,20.0,5.0,0,0,1,0,0,0.0,0.3,0,0,1,0,0.0,1600.0,2.4,0.1503,22.7
322,2017,BSGSCN,106.38,2.69,,4.0,520,20.0,5.0,0,0,1,0,0,0.0,0.3,0,0,1,0,0.0,1600.0,2.4,0.1734,29.6
323,2016,CN,10.0,2.63,,4.0,550,10.0,10.0,0,0,1,0,0,0.0,0.1,0,0,1,0,0.0,1600.0,3.0,0.708,21.6
324,2016,BOC-CN-140,19.96,2.44,,4.0,550,10.0,10.0,0,0,1,0,0,0.0,0.1,0,1,0,0,0.0,1600.0,3.0,0.127,26.1
325,2016,BOC-CN-160,27.1,2.6,14.9,4.0,550,10.0,10.0,0,0,1,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,3.0,0.042,34.8
326,2018,CN,17.8,2.7,12.505,3.0,550,10.0,2.5,0,0,0,1,0,0.0,0.1,0,0,1,0,0.0,254.6,3.0,,21.466
327,2018,CNT,25.5,2.66,11.69,3.0,550,10.0,2.5,0,0,0,1,0,0.0,0.1,0,0,1,0,,254.6,3.0,,23.711
328,2018,BCNT,27.9,2.54,7.32,3.0,550,10.0,2.5,0,0,0,1,0,0.0,0.1,0,0,1,0,0.0,254.6,3.0,,30.554
330,2020,g-C3N4/TiO2-2,35.4,2.6,,2.0,550,10.0,5.0,0,0,0,1,1,5.0,0.1,0,0,1,0,0.0,790.0,2.4,0.118,55.4
331,2020,CN,,2.86,39.4,1.0,550,15.0,15.0,1,0,0,0,0,0.0,0.2,0,0,0,1,0.0,410.0,2.0,,20.2
332,2020,0.5% InP/g-C3N4,,2.12,17.5,1.0,550,15.0,15.0,1,0,0,0,1,0.5,0.2,0,0,0,1,0.0,410.0,2.0,,39.6
335,2020,CN,34.8,3.0,8.8,4.0,550,10.0,10.0,0,0,0,1,0,0.0,0.2,0,0,0,1,0.0,1600.0,2.0,,22.0
336,2020,Mo-CN(0.7%)/g-C3N4,53.5,3.03,4.0,4.0,550,10.0,10.0,0,0,0,1,1,0.7,0.2,0,0,0,1,0.0,1600.0,2.0,,36.0
