id,Year,Sample Name,BET(m2 / g),Eg(eV),NO2(%),PT(h),T(℃),PM(g),HR(℃/min),urea,thiourea,dicyandiamide,melamine,Whether doping,Doping ratio(wt%),Load/g(12cm),Tungsten halogen lamp, LED lamp,Xe lamp,Metal halide lamp,Else,Intensity(W/m2),Flow rate(L/min),Pore volume(cm3/g),NOx(%),CT(h),Load (g)
54,2016,CN-T,23.0,2.51,12.04,3.0,550.0,12.0,10.0,0.0,1.0,0.0,0.0,0,0.0,0.1,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.14,29.6,0.0,0.0
55,2016,CN-D,18.0,2.58,9.06,3.0,563.0,12.0,10.0,0.0,0.0,1.0,0.0,0,0.0,0.1,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.09,22.2,0.0,0.0
56,2016,CN-M,14.0,2.56,11.13,3.0,575.0,12.0,10.0,0.0,0.0,0.0,1.0,0,0.0,0.1,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.06,26.8,0.0,0.0
57,2016,CN-U,153.0,2.88,9.33,3.0,530.0,12.0,10.0,1.0,0.0,0.0,0.0,0,0.0,0.1,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.4,31.9,0.0,0.0
58,2018,CN,18.0,2.66,32.50323833867699,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.13,22.75,0.0,0.0
59,2018,CN-Ca1,14.0,2.05,25.096,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,1,3.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.1,37.24,0.0,0.0
60,2018,CN-Ca3,14.0,2.05,25.468,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,1,5.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.09,48.15,0.0,0.0
61,2018,CN-Ca5,10.0,2.05,24.566,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,1,10.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.05,39.47,0.0,0.0
62,2018,CN,26.0,2.45,11.39,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.17,29.0,0.0,0.0
63,2018,OCN-K-CN1,25.0,2.6,14.5,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,1,1.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.17,38.5,0.0,0.0
64,2018,OCN-K-CN3,20.0,2.6,8.814,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,1,3.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.15,45.47,0.0,0.0
65,2018,OCN-K-CN5,16.0,2.6,9.348,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,1,5.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.1,42.1,0.0,0.0
66,2018,CN-3Sr,18.5,2.63,20.167,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,1,3.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.132,50.9,0.0,0.0
67,2018,CN-5Sr,13.3,2.6,22.333,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,1,5.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.096,53.1,0.0,0.0
68,2018,CN-10Sr,9.1,2.58,21.0,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,1,10.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.068,44.7,0.0,0.0
69,2018,CN,23.0,2.66,20.0,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.169,36.3,0.0,0.0
70,2017,CN,26.0,2.45,11.391701131314434,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.17,35.02,0.0,0.0
71,2017,CN-Rb3,26.0,2.4592484993098265,27.44566657262611,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,1,3.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.14,38.66,0.0,0.0
72,2017,CN-Rb5,25.0,2.22,31.350226519083346,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,1,5.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.14,48.54,0.0,0.0
73,2017,CN-Rb10,24.0,2.4390203360771476,25.086794595259907,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,1,10.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.13,33.52,0.0,0.0
74,2017,CN-Cs3,25.0,2.447626392211702,29.38345137919291,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,1,3.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.14,46.21,0.0,0.0
75,2017,CN-Cs5,24.0,2.22,29.213459309678587,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,1,5.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.14,51.11,0.0,0.0
76,2017,CN-Cs10,22.0,2.402993926528199,25.73679154729802,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,1,10.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.12,45.12,0.0,0.0
77,2017,C3N4,20.0,2.39,26.610717671414214,0.0,550.0,0.5,15.0,0.0,0.0,1.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.13,16.0,0.0,0.0
78,2017,C3N4-2h,50.0,2.46,25.91285099630618,2.0,550.0,0.5,15.0,0.0,0.0,1.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.31,47.8,0.0,0.0
79,2017,C3N4-4h,122.0,2.58,26.449605569701934,4.0,550.0,0.5,15.0,0.0,0.0,1.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.55,51.2,0.0,0.0
80,2017,C3N4-6h,105.0,2.55,26.449832923166863,6.0,550.0,0.5,15.0,0.0,0.0,1.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.49,49.7,0.0,0.0
81,2018,CN-T,26.8,2.47,14.973,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,0,0.0,0.1,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.042,34.9,0.0,0.0
82,2018,CN-U,137.2,2.64,7.0596,2.0,550.0,10.0,15.0,1.0,0.0,0.0,0.0,0,0.0,0.1,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.5488681407917322,40.4,0.0,0.0
84,2019,Pd-C3N4,95.93000004574148,2.75,2.6,2.0,550.0,10.0,15.0,1.0,0.0,0.0,0.0,1,1.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.4417247590825159,44.9,0.0,0.0
86,2020,Au-C3N4,49.8,2.69137600663974,8.11,2.0,550.0,20.0,15.0,1.0,0.0,0.0,0.0,1,5.394323455228153,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.2698201621587406,41.0,0.0,0.0
91,2020,TN450,13.47,2.62,13.666725366119593,4.0,450.0,19.5,5.0,1.0,0.0,0.0,0.0,0,0.0,0.2,0.0,1,0.0,0.0,0.0,14.0,1.0,0.03,35.2,0.0,0.0
93,2020,TN550,13.02,2.52,8.128447583888743,4.0,550.0,19.5,5.0,1.0,0.0,0.0,0.0,0,0.0,0.2,0.0,1,0.0,0.0,0.0,14.0,1.0,0.03,31.8,0.0,0.0
94,2020,TN600,17.76,2.32,12.15621440659567,4.0,600.0,19.5,5.0,1.0,0.0,0.0,0.0,0,0.0,0.2,0.0,1,0.0,0.0,0.0,14.0,1.0,0.05,24.7,0.0,0.0
98,2015,5M,11.0,2.62,37.215784017825044,2.0,550.0,5.0,15.0,0.0,0.0,0.0,1.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.08,14.3,0.0,0.0
100,2015,5M-CF,65.0,2.55,25.301645618928692,2.0,550.0,5.0,15.0,0.0,0.0,0.0,1.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.293,50.1,0.0,0.0
101,2015,8M-CF,14.0,2.24,32.66998687980415,2.0,550.0,8.0,15.0,0.0,0.0,0.0,1.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.085,22.3,0.0,0.0
102,2015,CN-2T ,66.0,2.5,20.67,2.0,550.0,2.0,15.0,0.0,1.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.39,48.3,0.0,0.0
103,2015,CN-5T ,24.0,2.46,36.74,2.0,550.0,5.0,15.0,0.0,1.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.18,33.6,0.0,0.0
104,2015,CN-10T,13.0,2.38,32.4,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.087,25.5,0.0,0.0
105,2015,CN-20T,12.0,2.37,44.37,2.0,550.0,20.0,15.0,0.0,1.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.083,12.7,0.0,0.0
106,2016,CN,27.0,2.45,34.54373681184998,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.13786953582493755,22.4,0.0,0.0
107,2016,CN-K1,18.0,2.34,25.245770917721007,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,1,1.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.11665191779535719,33.5,0.0,0.0
108,2016,CN-K3,14.0,2.19,25.266483619402514,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,1,3.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.09969783205398926,34.9,0.0,0.0
109,2016,CN-K5,11.0,2.15,33.383596664731975,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,1,5.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.0832019559526038,36.8,0.0,0.0
110,2016,CN-K10,8.0,2.15,23.20915053046012,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,1,10.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.06504134142575276,27.0,0.0,0.0
112,2018,CN,27.0,2.64,27.431216951151765,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.13203492783283596,23.5,0.0,0.0
113,2018,CN-KCl-1%,19.0,2.52,23.769727116636453,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,1,1.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.12368385504782618,32.5,0.0,0.0
114,2018,CN-KCl-3%,17.0,2.44,27.17579798685008,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,1,3.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.11078330491441996,38.4,0.0,0.0
115,2018,CN-KCl-5%,10.0,2.37,35.937785883702155,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,1,5.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.07329378748056754,32.0,0.0,0.0
116,2020,CN,90.75,2.7,60.90906819423734,2.0,550.0,10.0,15.0,1.0,0.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.8415688473021596,36.29,0.0,0.0
117,2020,CN-BOC-1,95.93,2.74999902871542,2.600997089285942,2.0,550.0,10.0,15.0,1.0,0.0,0.0,0.0,1,1.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.6746621161415571,41.38,0.0,0.0
118,2020,CN-BOC-2,108.91,2.700270805545096,30.51820889197702,2.0,550.0,10.0,15.0,1.0,1.0,0.0,0.0,1,2.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.5343867815485255,46.29,0.0,0.0
119,2020,CN-BOC-3,96.26,2.7158995530627528,40.144965168664335,2.0,550.0,10.0,15.0,1.0,1.0,0.0,0.0,1,3.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.6397479801966732,52.64,0.0,0.0
120,2020,CN-BOC-4,74.61,2.733964816097489,38.9745718787329,2.0,550.0,10.0,15.0,1.0,1.0,0.0,0.0,1,4.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.3499991435512168,53.28,0.0,0.0
121,2020,CN-BOC-5,88.06,2.720903105011077,42.99135821265741,2.0,550.0,10.0,15.0,1.0,1.0,0.0,0.0,1,5.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.6145647735734724,49.69,0.0,0.0
122,2020,CN-BOC-6,59.56,2.6676854843059656,44.224256811802654,2.0,550.0,10.0,15.0,1.0,1.0,0.0,0.0,1,6.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.2953443949478881,52.0,0.0,0.0
123,2017,CN,26.82,2.7,26.578203951981354,2.0,550.0,10.0,15.0,1.0,1.0,1.0,1.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.17,19.6,0.0,0.0
124,2017,CN-KN1,17.26,2.595933652075242,26.192909363500576,2.0,550.0,10.0,15.0,1.0,1.0,1.0,1.0,1,1.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.05,34.9,0.0,0.0
125,2017,CN-KN3,13.31,2.2966431905466673,31.97706263020625,2.0,550.0,10.0,15.0,1.0,1.0,1.0,1.0,1,3.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.08,41.93,0.0,0.0
126,2017,CN-KN5,8.41,2.361096937159081,39.579247683725676,2.0,550.0,10.0,15.0,1.0,1.0,1.0,1.0,1,5.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.06,40.33,0.0,0.0
128,2019,CN,65.0,2.69,27.505328417431226,2.0,550.0,20.0,15.0,1.0,0.0,0.0,0.0,0,0.0,0.1,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.37,35.9,0.0,0.0
129,2019,CN-OLa-1,70.0,2.64,28.020722515695965,2.0,550.0,20.0,15.0,1.0,0.0,0.0,0.0,1,1.0,0.1,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.37,43.9,0.0,0.0
130,2019,CN-OLa-5,68.0,2.59,28.71052483554349,2.0,550.0,20.0,15.0,1.0,0.0,0.0,0.0,1,5.0,0.1,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.35,47.7,0.0,0.0
131,2019,CN-OLa-10,86.0,2.56,25.891377056380747,2.0,550.0,20.0,15.0,1.0,0.0,0.0,0.0,1,10.0,0.1,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.47,47.8,0.0,0.0
132,2019,CN-OLa-25,78.0,2.44,15.96954360741189,2.0,550.0,20.0,15.0,1.0,0.0,0.0,0.0,1,25.0,0.1,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.38,50.4,0.0,0.0
136,2020,CN-H-550,54.929750504485035,2.6698785399871094,12.62,2.0,550.0,10.0,5.0,0.0,1.0,0.0,0.0,0,0.0,0.1,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.1926150218717004,37.29,0.0,0.0
137,2020,CN-H-600,31.84,2.36,11.3,3.0,600.0,10.0,5.0,0.0,1.0,0.0,0.0,0,0.0,0.1,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.24,41.84,0.0,0.0
138,2019,CN,46.12,2.71,28.7,2.0,550.0,10.0,15.0,1.0,0.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.16,30.0,0.0,0.0
139,2019,CN-0.08,53.89,2.66,15.6,2.0,550.0,10.0,15.0,1.0,0.0,0.0,0.0,1,0.08,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.25,34.7,0.0,0.0
140,2019,CN-0.10,61.86,2.5,10.6,2.0,550.0,10.0,15.0,1.0,0.0,0.0,0.0,1,0.1,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.29,41.4,0.0,0.0
141,2019,CN-0.11,47.07,2.62,18.7,2.0,550.0,10.0,15.0,1.0,0.0,0.0,0.0,1,0.11,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.21,29.1,0.0,0.0
143,2015,CN-T,27.0,2.3,25.07060032396879,2.0,550.0,15.0,15.0,0.0,1.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.14,21.3,0.0,0.0
145,2015,CN-3h,96.0,2.77,28.8,3.0,450.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.72,40.7,0.0,0.0
147,2016,g-C3N4,103.5,2.54,29.750448366216162,2.0,550.0,16.0,15.0,1.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,1.0,0.0,0.0,1600.0,2.4,0.55,39.5,0.0,0.0
148,2016,C3N4-Pd-1%,57.3,2.6896525191120997,28.370904107587084,2.0,550.0,16.0,15.0,1.0,0.0,0.0,0.0,1,1.0,0.2,0.0,0,1.0,0.0,0.0,1600.0,2.4,0.29,48.2,0.0,0.0
149,2016,C3N4-Pd-3%,55.6,2.7092002484685103,27.09902068303662,2.0,550.0,16.0,15.0,1.0,0.0,0.0,0.0,1,3.0,0.2,0.0,0,1.0,0.0,0.0,1600.0,2.4,0.29,55.6,0.0,0.0
150,2016,C3N4-Pd-5%,51.5,2.7226629922145906,25.295836431104075,2.0,550.0,16.0,15.0,1.0,0.0,0.0,0.0,1,5.0,0.2,0.0,0,1.0,0.0,0.0,1600.0,2.4,0.26,60.6,0.0,0.0
151,2016,C3N4-Pd-10%,34.8,2.6274823050263727,26.486632776718654,2.0,550.0,16.0,15.0,1.0,0.0,0.0,0.0,1,10.0,0.2,0.0,0,1.0,0.0,0.0,1600.0,2.4,0.13,47.6,0.0,0.0
152,2020,CN,4.8774,2.7,40.17901572247542,2.0,550.0,10.0,15.0,0.0,0.0,0.0,1.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.07528492446398372,24.5,0.0,0.0
153,2020,0.1-NaOH-CN,65.0354,2.63422470420695,33.118901062688266,2.0,550.0,10.0,15.0,0.0,0.0,0.0,1.0,1,10.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.3211423740483612,36.7,0.0,0.0
154,2020,0.15-NaOH-CN,39.53,2.59,22.708235763067535,2.0,550.0,10.0,15.0,0.0,0.0,0.0,1.0,1,15.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.14159705428528582,45.3,0.0,0.0
155,2020,0.20-NaOH-CN,51.1141,2.6837703629561402,16.986584135149094,2.0,550.0,10.0,15.0,0.0,0.0,0.0,1.0,1,20.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.25398327984463825,42.0,0.0,0.0
156,2018,CN,81.0,2.71,60.903662280860495,2.0,550.0,10.0,15.0,1.0,0.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.42,33.23,0.0,0.0
158,2018,CN-C2,118.0,2.65,60.75589859228677,2.0,550.0,10.0,15.0,1.0,0.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.61,56.77,0.0,0.0
159,2018,CN-C3,118.0,2.63,60.61001284142441,2.0,550.0,10.0,15.0,1.0,0.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.65,53.0,0.0,0.0
160,2016,g-C3N4,20.97065671005021,2.7,8.3,4.0,520.0,5.790787457788449,20.0,0.0,0.0,0.0,1.0,0,0.0,0.1,0.0,0,1.0,0.0,0.0,14.0,1.0,0.2356289268265684,37.0,0.0,0.0
163,2017,N-g-C3N4,65.0,2.89,22.3,4.0,550.0,3.0,10.0,0.0,0.0,0.0,1.0,0,0.0,0.1,0.0,0,1.0,0.0,0.0,14.0,1.0,0.4094689376875328,34.94,0.0,0.0
165,2022,Pd-CN,11.856349546256654,2.77,14.83,4.0,520.0,3.0,10.0,0.0,0.0,0.0,1.0,1,0.5,0.1,0.0,0,1.0,0.0,0.0,14.0,1.0,0.24128078098967032,53.0,0.0,0.0
167,2017,g-C3N4,41.410193779980865,2.71,30.5,4.0,550.0,3.0,15.408295336938199,0.0,0.0,0.0,1.0,0,0.0,0.1,0.0,0,1.0,0.0,0.0,14.0,1.0,0.27968722398548895,38.0,0.0,0.0
168,2017,Ns-g-C3N4,45.91063154630596,2.8,19.5,4.0,550.0,3.0,15.61424528257179,0.0,0.0,0.0,1.0,1,5.17722026005589,0.1,0.0,0,1.0,0.0,0.0,14.0,1.0,0.3107647362661724,48.0,0.0,0.0
170,2020,CN-IL5,27.99,2.79,8.419,4.0,520.0,4.0,10.0,0.0,0.0,0.0,1.0,1,5.0,0.1,0.0,0,1.0,0.0,0.0,14.0,1.0,0.22500144927752347,70.07,0.0,0.0
